obj_id,frame,stim_heading
1844,2570431,-0.46092030328381917
2282,2867766,-0.5475898952693191
2375,2962541,-1.8791931203046754
2551,3042076,-0.28955022575606787
3610,3212020,-1.4192257067291585
3640,3216102,-1.7992066618634555
3649,3221526,-2.4787757745534322
3773,3293614,-1.388280272345985
3796,3316930,0.8139201852723411
3807,3342533,-0.9805416530565518
3966,3484762,-1.3173004198252936
4104,3607075,-2.0708465411784838
4110,3626345,-1.9234994053100536
4117,3669330,3.088454738381951
4180,3817233,-0.38313238151357343
4210,4254935,-0.030406787587814423
4212,4263452,0.8605678971773396
4237,6779443,-0.8968577412892231
