obj_id,frame,stim_heading
1009,107717,-2.07927099666274
1009,109752,-1.66763312583217
1041,130869,-0.5113224315086632
1047,131634,0.8605678971773396
1053,134157,2.3513283485530456
1053,134888,-0.08278617289129916
1075,203100,2.328355430490096
1106,235929,-1.1558794020486136
1107,236528,0.4188385443432253
1138,237198,-0.7144231385204265
1234,241172,-0.5839726134336095
1612,272292,2.135391976865135
1662,317165,1.4339176364679045
2244,318339,0.5279579240118799
3598,521720,-2.1208651819601663
4295,760501,-2.39338083384925
4307,761950,0.48489058084026804
4385,856027,-1.5582058047629783
4528,865103,-0.7572019328117786
4531,865969,1.301258394067283
4538,871495,0.7489973725679467
4556,886742,1.816458350456731
4627,924337,-2.321029202859852
4663,945334,-1.5500383200117736
4756,1044136,-1.781473002829222
4762,1046524,0.29881740294948617
4782,1097915,-0.8968577412892231
4771,1100060,0.054769215448730445
4815,1131946,0.3993911744408134
4900,1239640,1.8005606006016035
4910,1245377,-1.5829409440750173
4984,1545265,1.8005606006016035
5015,1623713,-1.2045124495081738
5030,1713214,-0.8270911045080888
5070,1774370,0.6940700014700169
5072,1789769,-1.0354548946745445
5077,1792989,-2.07927099666274
5085,1804377,-0.7215888105593579
5092,1812109,-0.05145991193819683
5248,1928090,-1.7992066618634555
5262,1932102,0.4188385443432253
5262,1932950,-0.8339641303311145
5271,1935493,-3.073729792755334
5276,1953331,-0.38313238151357326
5276,1958602,-2.070846541178484
5357,1967397,-0.5403241335157609
5371,1969509,-0.5258095023719596
5382,1985432,0.5031545295746856
5456,1986639,2.107050081999703
5693,2000100,-1.4497274235789936
5822,2044126,-2.9749632905570147
6078,2074686,2.078161321633188
6078,2075396,0.288492639561508
6122,2091846,2.316623052580176
6151,2100718,-1.93232864148762
6196,2115171,0.1191305329943018
6317,2147535,1.7211119256169458
6508,2168238,-0.28031429738796726
6753,2201777,0.8792383581184873
6779,2204463,0.22574714267201457
7410,2247826,0.2677210600780444
7430,2251455,-2.9749632905570147
7501,2259627,-0.7783735114416649
8107,2342015,1.0541746659120559
8199,2360834,-2.07927099666274
8428,2375940,1.0631493121171032
8450,2378511,-2.751242041127467
8742,2394158,-1.0117868418441225
8826,2402195,-0.05145991193819683
8843,2403123,-2.414495891823244
9590,2479317,-2.576924179287985
9865,2493603,2.2804402130135464
9884,2500219,1.8481976877160937
10934,2567021,-1.051331712220869
10851,2567702,1.8481976877160937
11225,2594136,1.0451683255801574
11594,2618303,-1.6080068127664533
13345,2694240,0.5113730753428748
13345,2695754,-0.9573714803718854
14324,2750351,-0.15441459577788444
15097,2791491,-0.10347704786528594
16210,2841001,0.2572782769858601
16222,2844464,-1.9936720487821433
16224,2849767,1.1679421174040385
16310,2862016,-1.6504481753273008
16629,2892603,-2.4896015468077533
